,Year,index,CountLeptopsyrosis
22,2000,3340,64.0
23,2001,5587,51.0
24,2002,12146,71.0
25,2003,20099,77.0
26,2004,26263,77.0
27,2005,38615,94.0
28,2006,47311,91.0
29,2007,63413,100.0
30,2008,90186,120.0
31,2009,92206,108.0
32,2010,135793,140.0
33,2011,154829,138.0
34,2012,179345,143.0
35,2013,228787,162.0
36,2014,353857,220.0
37,2015,331371,184.0
38,2016,316480,159.0
39,2017,324644,152.0
40,2018,443471,192.0
41,2019,454621,182.0
42,2020,540289,202.0
43,2021,598708,207.0
44,2022,663370,214.0
45,2023,582702,177.0
