"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
10548299,1,"E","Daher","E","Departamento de Medicina Clínica, Faculdade de Medicina, Universidade Federal do Ceará, Fortaleza, Brazil."
10548299,2,"D M","Zanetta","DM",""
10548299,3,"M B","Cavalcante","MB",""
10548299,4,"R C","Abdulkader","RC",""
10569777,1,"D A","Haake","DA","Division of Infectious Diseases, Veterans Affairs Greater Los Angeles Healthcare System, Los Angeles, California 90073, USA. dhaake@ucla.edu"
10569777,2,"M K","Mazel","MK",""
10569777,3,"A M","McCoy","AM",""
10569777,4,"F","Milward","F",""
10569777,5,"G","Chao","G",""
10569777,6,"J","Matsunaga","J",""
10569777,7,"E A","Wagar","EA",""
10585813,1,"P C","Marotto","PC","Intensive Care Unit, Instituto de Infectologia Emilio Ribas, Universidade de São Paulo, São Paulo, Brazil."
10585813,2,"C M","Nascimento","CM",""
10585813,3,"J","Eluf-Neto","J",""
10585813,4,"M S","Marotto","MS",""
10585813,5,"L","Andrade","L",""
10585813,6,"J","Sztajnbok","J",""
10585813,7,"A C","Seguro","AC",""
10586903,1,"P","Cumberland","P","Infectious Disease Epidemiology Unit, London School of Hygiene and Tropical Medicine, United Kingdom."
10586903,2,"C O","Everard","CO",""
10586903,3,"P N","Levett","PN",""
10596270,1,"A","Steger-Lieb","A","Klinik für kleine Haustiere, Universität Bern."
10596270,2,"B","Gerber","B",""
10596270,3,"J","Nicolet","J",""
10596270,4,"F","Gaschen","F",""
10603673,1,"A B","Resano Igal","AB","Servicio de Medicina Interna, Hospital de Guipúzcoa, San Sebastián."
10603673,2,"X","Camino Ortiz De Barrón","X",""
10603673,3,"P K","Urbe Castelruiz","PK",""
10603673,4,"A","Erro Garzarón","A",""
10603673,5,"J","Larruscáin Garmendia","J",""
10618140,1,"M M","Pereira","MM","National Reference Center for Leptospirosis, Instituto Oswaldo Cruz, Rio de Janeiro. mpereira@gene.dbbm.fiocruz.br"
10618140,2,"M G","Matsuo","MG",""
10618140,3,"A R","Bauab","AR",""
10618140,4,"S A","Vasconcelos","SA",""
10618140,5,"Z M","Moraes","ZM",""
10618140,6,"G","Baranton","G",""
10618140,7,"I","Saint Girons","I",""
10619602,1,"S H","Park","SH","Department of Life Science and Biotechnology, Graduate School of Biotechnology, Korea University, Seoul."
10619602,2,"B Y","Ahn","BY",""
10619602,3,"M J","Kim","MJ",""
10626331,1,"G V","Mel'nik","GV",""
10626331,2,"L D","Degtiar'","LD",""
10626331,3,"R E","Andreev","RE",""
10641895,1,"E","Mancel","E","Department of Ophthalmology, Gaston Bourret Hospital, Noumea, New Caledonia. salino@canl.nc"
10641895,2,"F","Merien","F",""
10641895,3,"L","Pesenti","L",""
10641895,4,"D","Salino","D",""
10641895,5,"G","Angibaud","G",""
10641895,6,"P","Perolat","P",""
10668536,1,"C A","Adin","CA","Veterinary Medical Teaching Hospital, University of California, Davis 95616, USA."
10668536,2,"L D","Cowgill","LD",""
10680654,1,"M J","Ribotta","MJ","Département de Pathologie et Microbiologie, Faculté de Médecine Vétérinaire, Université de Montréal, Saint-Hyacinthe, Québec."
10680654,2,"R","Higgins","R",""
10680654,3,"M","Gottschalk","M",""
10680654,4,"R","Lallier","R",""
10682499,1,"D","Cheng","D","Yichang City Health and Anti-epidemic Station, Hubei Province."
10682499,2,"H","Pan","H",""
10683919,1,"Q","Xiong","Q","Research Unit of Leptospirosis, School of Basic Medical Sciences, Chengdu."
10683919,2,"L","Bao","L",""
10683919,3,"M","Zhang","M",""
10683919,4,"S","Li","S",""
10683919,5,"W","Wu","W",""
10683919,6,"B","Wan","B",""
10683919,7,"W J","Terpstra","WJ",""
10683919,8,"R","Hartskeerl","R",""
10683969,1,"B","Wan","B","Institute of Biotechnology, Sichuan Union University."
10683969,2,"L","Bao","L",""
10683969,3,"H","Xu","H",""
10683969,4,"J","Yan","J",""
10683969,5,"B","Shen","B",""
10683969,6,"H","Qiu","H",""
10699001,1,"P V","Effler","PV","Epidemiology Branch, Communicable Disease Division, Hawaii State Department of Health, Honolulu, Hawaii 96813, USA. pveffler@mail.health.state.hi.us"
10699001,2,"H Y","Domen","HY",""
10699001,3,"S L","Bragg","SL",""
10699001,4,"T","Aye","T",""
10699001,5,"D M","Sasaki","DM",""
