,Author,collaborators
0,E Daher,"['D M Zanetta', 'M B Cavalcante', 'R C Abdulkader']"
1,D M Zanetta,"['E Daher', 'M B Cavalcante', 'R C Abdulkader']"
2,M B Cavalcante,"['E Daher', 'D M Zanetta', 'R C Abdulkader']"
3,R C Abdulkader,"['E Daher', 'D M Zanetta', 'M B Cavalcante']"
4,D A Haake,"['M K Mazel', 'A M McCoy', 'F Milward', 'G Chao', 'J Matsunaga', 'E A Wagar', 'R L Zuerner', 'J K Barnett', 'D Barnett', 'M Mazel', 'P N Levett', 'C A Bolin', 'C Werts', 'R I Tapping', 'J C Mathison', 'T H Chuang', 'V Kravchenko', 'I Saint Girons', 'P J Godowski', 'F Hayashi', 'A Ozinsky', 'D M Underhill', 'C J Kirschning', 'H Wagner', 'A Aderem', 'P S Tobias', 'R J Ulevitch', 'H Guerreiro', 'J Croda', 'B Flannery', 'M Galvão Reis', 'A I Ko', 'D Costa', 'F P Carvalho', 'E D Da Silva', 'A G Ferreira', 'L W Riley', 'M G Reis', 'A L T O Nascimento', 'E A L Martins', 'C B Monteiro-Vitorello', 'P L Ho', 'S Verjovski-Almeida', 'R A Hartskeerl', 'M V Marques', 'M C Oliveira', 'C F M Menck', 'L C C Leite', 'H Carrer', 'L L Coutinho', 'W M Degrave', 'O A Dellagostin', 'H El-Dorry', 'E S Ferro', 'M I T Ferro', 'L R Furlan', 'M Gamberini', 'E A Giglioti', 'A Góes-Neto', 'G H Goldman', 'M H S Goldman', 'R Harakava', 'S M B Jerônimo', 'I L M Junqueira-de-Azevedo', 'E T Kimura', 'E E Kuramae', 'E G M Lemos', 'M V F Lemos', 'C L Marino', 'L R Nunes', 'R C de Oliveira', 'G G Pereira', 'M S Reis', 'A Schriefer', 'W J Siqueira', 'P Sommer', 'S M Tsai', 'A J G Simpson', 'J A Ferro', 'L E A Camargo', 'J P Kitajima', 'J C Setubal', 'M A Van Sluys']"
5,M K Mazel,"['D A Haake', 'A M McCoy', 'F Milward', 'G Chao', 'J Matsunaga', 'E A Wagar']"
6,A M McCoy,"['D A Haake', 'M K Mazel', 'F Milward', 'G Chao', 'J Matsunaga', 'E A Wagar']"
7,F Milward,"['D A Haake', 'M K Mazel', 'A M McCoy', 'G Chao', 'J Matsunaga', 'E A Wagar']"
8,G Chao,"['D A Haake', 'M K Mazel', 'A M McCoy', 'F Milward', 'J Matsunaga', 'E A Wagar', 'R L Zuerner', 'J K Barnett', 'D Barnett', 'M Mazel', 'P N Levett', 'C A Bolin']"
9,J Matsunaga,"['D A Haake', 'M K Mazel', 'A M McCoy', 'F Milward', 'G Chao', 'E A Wagar', 'R L Zuerner', 'J K Barnett', 'D Barnett', 'M Mazel', 'P N Levett', 'C A Bolin', 'H Guerreiro', 'J Croda', 'B Flannery', 'M Galvão Reis', 'A I Ko', 'D Costa', 'F P Carvalho', 'E D Da Silva', 'A G Ferreira', 'L W Riley', 'M G Reis']"
